 # PROCESS #
 # Power Reactor Optimisation Code #
 # PROCESS #
 # Power Reactor Optimisation Code #
 PROCESS_version_number__________________________________________________ (procver)_____________________     "3.1.0   R"
 Date_of_run_____________________________________________________________ (date)________________________     "04/07/2024"
 Time_of_run_____________________________________________________________ (time)________________________     "22:03"
 User____________________________________________________________________ (username)____________________     "ir-madd1"
 PROCESS_run_title_______________________________________________________ (runtitle)____________________     "generic large tokamak                                                                              
 PROCESS_tag_number______________________________________________________ (tagno)_______________________     "v3.1.0-102-g57625e3"                                                                               
 PROCESS_git_branch_name_________________________________________________ (branch_name)_________________     "main"                                                                                              
 PROCESS_last_commit_message_____________________________________________ (commsg)______________________     "Skip stellarator regression test"                                                                  
 Input_filename__________________________________________________________ (fileprefix)__________________     "/rds/project/rds-aSo1XX0UOlw/ir-madd1/process-mc/samples/184_IN.DAT                                                                                                                                                                                                                                                                                                                                             "
 # Numerics #
 VMCON_error_flag________________________________________________________ (ifail)_______________________              1    
 # PROCESS found a feasible solution #
 Number_of_iteration_variables___________________________________________ (nvar)________________________             21    
 Number_of_constraints_(total)___________________________________________ (neqns+nineqns)_______________             26    
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1    
 Figure_of_merit_switch__________________________________________________ (minmax)______________________             -5    
 Objective_function_name_________________________________________________ (objf_name)___________________     "fusion gain"                           
 Normalised_objective_function___________________________________________ (norm_objf)___________________     -3.9542761157133150E+01 OP 
 Square_root_of_the_sum_of_squares_of_the_constraint_residuals___________ (sqsumsq)_____________________      1.0706603116298291E-15 OP 
 VMCON_convergence_parameter_____________________________________________ (convergence_parameter)_______      1.3414208230024323E-13 OP 
 Number_of_VMCON_iterations______________________________________________ (nviter)______________________            110 OP 
 bt______________________________________________________________________ (itvar001)____________________      5.4465285333369744E+00    
 bt_(final_value/initial_value)__________________________________________ (xcm001)______________________      9.0321875751015956E-01    
 bt_(range_normalised)___________________________________________________ (nitvar001)___________________      4.5342189602476851E-01    
 rmajor__________________________________________________________________ (itvar002)____________________      9.0000000000000000E+00    
 rmajor_(final_value/initial_value)______________________________________ (xcm002)______________________      1.0623915482477060E+00    
 rmajor_(range_normalised)_______________________________________________ (nitvar002)___________________      1.0000000000000000E+00    
 te______________________________________________________________________ (itvar003)____________________      1.5921997584330082E+01    
 te_(final_value/initial_value)__________________________________________ (xcm003)______________________      1.2654995900007080E+00    
 te_(range_normalised)___________________________________________________ (nitvar003)___________________      1.1023390339469583E-01    
