 # PROCESS #
 # Power Reactor Optimisation Code #
 # PROCESS #
 # Power Reactor Optimisation Code #
 PROCESS_version_number__________________________________________________ (procver)_____________________     "3.1.0   R"
 Date_of_run_____________________________________________________________ (date)________________________     "05/07/2024"
 Time_of_run_____________________________________________________________ (time)________________________     "11:22"
 User____________________________________________________________________ (username)____________________     "jon"     
 PROCESS_run_title_______________________________________________________ (runtitle)____________________     "generic large tokamak                                                                              
 PROCESS_tag_number______________________________________________________ (tagno)_______________________     "v3.1.0-102-g57625e3b3"                                                                             
 PROCESS_git_branch_name_________________________________________________ (branch_name)_________________     "main"                                                                                              
 PROCESS_last_commit_message_____________________________________________ (commsg)______________________     "Skip stellarator regression test"                                                                  
 Input_filename__________________________________________________________ (fileprefix)__________________     "/home/jon/code/dakota-process/design_points/lt_max_q_sol_100_IN.DAT                                                                                                                                                                                                                                                                                                                                             "
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________             -2    
 Figure_of_merit_switch__________________________________________________ (minmax)______________________             -5    
 # Final UNFEASIBLE Point #
 # Numerics #
 Normalised_objective_function___________________________________________ (norm_objf)___________________     -3.9542761157133214E+01    
 Beta_consistency__________________normalised_residue____________________ (eq_con001)___________________     -8.8817841970012523E-16    
 Global_power_balance_consistency__normalised_residue____________________ (eq_con002)___________________     -2.2204460492503131E-16    
 Radial_build_consistency__________normalised_residue____________________ (eq_con011)___________________      8.8817841970012523E-16    
 Injection_power_upper_limit_____________________________________________ (ineq_con030)_________________      3.3333333333333326E-01    
 L-H_power_threshold_limit_______________________________________________ (ineq_con015)_________________      2.1946595375046862E-01    
 Net_electric_power_lower_limit__________________________________________ (ineq_con016)_________________      1.3313414826947123E+00    
 Beta_upper_limit________________________________________________________ (ineq_con024)_________________      6.8876221347527289E-01    
 Peak_toroidal_field_upper_limit_________________________________________ (ineq_con025)_________________      1.7998557500811163E-01    
 CS_coil_EOF_current_density_limit_______________________________________ (ineq_con026)_________________      1.0981851576757324E+00    
 CS_coil_BOP_current_density_limit_______________________________________ (ineq_con027)_________________      6.1966217489141706E-01    
 I_op_/_I_critical_(TF_coil)_____________________________________________ (ineq_con033)_________________      2.1434111475170461E+00    
 Dump_voltage_upper_limit________________________________________________ (ineq_con034)_________________      1.9360118894590661E-02    
 J_winding_pack/J_protection_limit_______________________________________ (ineq_con035)_________________      1.9760596845497247E-06    
 TF_coil_temp._margin_lower_limit________________________________________ (ineq_con036)_________________      1.5272354366750385E+00    
 CS_temperature_margin_lower_limit_______________________________________ (ineq_con060)_________________      3.6965146381628955E-06    
 taup/taueff_____________________________________________________________ (ineq_con062)_________________      4.4408920985006262E-16    
 Dump_time_set_by_VV_stress______________________________________________ (ineq_con065)_________________      1.8219977308750530E+00    
 CS_Tresca_yield_criterion_______________________________________________ (ineq_con072)_________________      5.4608412074983104E-01    
 ne0_>_neped_____________________________________________________________ (ineq_con081)_________________      6.7678347934918470E-01    
 Upper_Lim._on_Psep_*_Bt_/_q_A_R_________________________________________ (ineq_con068)_________________     -0.0000000000000000E+00    
 TF_coil_case_stress_upper_limit_________________________________________ (ineq_con031)_________________      8.6745415232230672E-02    
 TF_coil_conduit_stress_upper_lim________________________________________ (ineq_con032)_________________      7.9733769297027690E-02    
 Density_upper_limit_____________________________________________________ (ineq_con005)_________________      4.4408920985006262E-16    
 Neutron_wall_load_upper_limit___________________________________________ (ineq_con008)_________________      3.4674543908228950E-01    
 Fusion_power_upper_limit________________________________________________ (ineq_con009)_________________     -0.0000000000000000E+00    
 Burn_time_lower_limit___________________________________________________ (ineq_con013)_________________      1.0020105103085841E-01    
 # Power Reactor Costs (1990 US$) #
 First_wall_/_blanket_life_(years)_______________________________________ (fwbllife)____________________      4.2085794971321544E+00    
 Divertor_life_(years)___________________________________________________ (divlife.)____________________      1.7605085284853658E+01    
 Cost_of_electricity_(m$/kWh)____________________________________________ (coe)_________________________      2.8546474934507864E+02    
 # Detailed Costings (1990 US$) #
 Acc.22_multiplier_for_Nth_of_a_kind_____________________________________ (fkind)_______________________      1.0000000000000000E+00    
 Level_of_Safety_Assurance_______________________________________________ (lsa)_________________________              4    
 # Structures and Site Facilities #
